IO Bank,Pin Number,IOB Alias,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,Pull Type
1,H9,IOB_X1Y100,IO_L9N_CC_A0_D16_1,53.634,62.573,,,A[0],OUT,,,LVCMOS33,12,SLOW,
1,G10,IOB_X1Y101,IO_L9P_CC_A1_D17_1,52.134,60.823,,,A[1],OUT,,,LVCMOS33,12,SLOW,
1,G19,IOB_X1Y110,IO_L4N_VREF_A10_D26_1,51.882,60.529,,,A[10],OUT,,,LVCMOS33,12,SLOW,
1,F18,IOB_X1Y111,IO_L4P_A11_D27_1,61.908,72.226,,,A[11],OUT,,,LVCMOS33,12,SLOW,
1,F14,IOB_X1Y112,IO_L3N_A12_D28_1,42.33,49.385,,,A[12],OUT,,,LVCMOS33,12,SLOW,
1,F15,IOB_X1Y113,IO_L3P_A13_D29_1,49.794,58.093,,,A[13],OUT,,,LVCMOS33,12,SLOW,
1,F17,IOB_X1Y114,IO_L2N_A14_D30_1,44.382,51.779,,,A[14],OUT,,,LVCMOS33,12,SLOW,
1,G17,IOB_X1Y115,IO_L2P_A15_D31_1,36.924,43.078,,,A[15],OUT,,,LVCMOS33,12,SLOW,
1,G14,IOB_X1Y116,IO_L1N_A16_1,33.978,39.641,,,A[16],OUT,,,LVCMOS33,12,SLOW,
1,H13,IOB_X1Y117,IO_L1P_A17_1,34.344,40.068,,,A[17],OUT,,,LVCMOS33,12,SLOW,
1,G16,IOB_X1Y118,IO_L0N_A18_1,37.212,43.414,,,A[18],OUT,,,LVCMOS33,12,SLOW,
1,G15,IOB_X1Y119,IO_L0P_A19_1,38.562,44.989,,,A[19],OUT,,,LVCMOS33,12,SLOW,
1,H21,IOB_X1Y102,IO_L8N_CC_A2_D18_1,58.992,68.824,,,A[2],OUT,,,LVCMOS33,12,SLOW,
2,Y18,IOB_X1Y52,IO_L3N_A20_2,43.428,50.666,,,A[20],OUT,,,LVCMOS33,12,SLOW,
2,AA18,IOB_X1Y53,IO_L3P_A21_2,50.544,58.968,,,A[21],OUT,,,LVCMOS33,12,SLOW,
2,Y11,IOB_X1Y54,IO_L2N_A22_2,47.868,55.846,,,A[22],OUT,,,LVCMOS33,12,SLOW,
2,AA10,IOB_X1Y55,IO_L2P_A23_2,53.544,62.468,,,A[23],OUT,,,LVCMOS33,12,SLOW,
2,AA19,IOB_X1Y56,IO_L1N_CC_A24_2,65.736,76.692,,,A[24],OUT,,,LVCMOS33,12,SLOW,
1,G20,IOB_X1Y103,IO_L8P_CC_A3_D19_1,50.892,59.374,,,A[3],OUT,,,LVCMOS33,12,SLOW,
1,H11,IOB_X1Y104,IO_L7N_A4_D20_1,40.608,47.376,,,A[4],OUT,,,LVCMOS33,12,SLOW,
1,G11,IOB_X1Y105,IO_L7P_A5_D21_1,47.226,55.097,,,A[5],OUT,,,LVCMOS33,12,SLOW,
1,H19,IOB_X1Y106,IO_L6N_A6_D22_1,49.668,57.946,,,A[6],OUT,,,LVCMOS33,12,SLOW,
1,H18,IOB_X1Y107,IO_L6P_A7_D23_1,40.548,47.306,,,A[7],OUT,,,LVCMOS33,12,SLOW,
1,G12,IOB_X1Y108,IO_L5N_A8_D24_1,37.65,43.925,,,A[8],OUT,,,LVCMOS33,12,SLOW,
1,F13,IOB_X1Y109,IO_L5P_A9_D25_1,43.428,50.666,,,A[9],OUT,,,LVCMOS33,12,SLOW,
