IO Bank,Pin Number,IOB Alias,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,Pull Type
15,A17,IOB_X0Y148,IO_L5N_15,73.332,85.554,,,FOCUS_SCLK,OUT,,,LVCMOS33,12,SLOW,
,A18,,,,,,,N_FADC_CS,OUT,,,,,,
15,A19,IOB_X0Y146,IO_L6N_15,85.71,99.995,,,FADC_SDIO,INOUT,,,LVCMOS33,12,SLOW,
15,A20,IOB_X0Y143,IO_L8P_CC_15,86.142,100.499,,,FADC_SCLK,OUT,,,LVCMOS33,12,SLOW,
15,A22,IOB_X0Y132,IO_L13N_15,83.112,96.964,,,LEGACY_WGTC_GAUGE_TEST,OUT,,,LVCMOS33,12,SLOW,
15,A23,IOB_X0Y131,IO_L14P_15,78.192,91.224,,,LEGACY_MODAVAIL_TEST,OUT,,,LVCMOS33,12,SLOW,
15,A24,IOB_X0Y130,IO_L14N_VREF_15,81.312,94.864,,,SLED_U_TUNED_TEST,IN,,,LVCMOS33,12,SLOW,
15,A25,IOB_X0Y124,IO_L17N_15,90.528,105.616,,,SLED_L_TUNED_TEST,IN,,,LVCMOS33,12,SLOW,
16,A3,IOB_X2Y130,IO_L14N_VREF_16,92.076,107.422,,,SLOWADC_CLK,OUT,,,LVCMOS33,12,SLOW,
16,A4,IOB_X2Y131,IO_L14P_16,81.954,95.613,,,SLOWADC_CONVST,OUT,,,LVCMOS33,12,SLOW,
,A5,,,,,,,N_SLOWADC_WR,OUT,,,,,,
16,A7,IOB_X2Y139,IO_L10P_CC_16,80.328,93.716,,,SLOWADC_DATA5,IN,,,LVCMOS33,12,SLOW,
16,A8,IOB_X2Y150,IO_L4N_VREF_16,72.498,84.581,,,SLOWADC_DATA10,IN,,,LVCMOS33,12,SLOW,
,AA1,IPAD_X1Y1,MGTRXP0_118,63.768,74.396,,,RX0_p,IN,,,LVCMOS25,12,SLOW,
2,AA10,IOB_X1Y55,IO_L2P_A23_2,53.544,62.468,,,A23,OUT,,,LVCMOS33,12,SLOW,
,AA12,,,,,,,N_FOE,OUT,,,,,,
2,AA13,IOB_X1Y47,IO_L6P_D7_2,43.098,50.281,,,D7,INOUT,,,LVCMOS33,12,SLOW,
2,AA14,IOB_X1Y46,IO_L6N_D6_2,47.364,55.258,,,D6,INOUT,,,LVCMOS33,12,SLOW,
2,AA15,IOB_X1Y40,IO_L9N_D0_FS0_2,41.454,48.363,,,D0,INOUT,,,LVCMOS33,12,SLOW,
,AA17,,,,,,,N_FWE,OUT,,,,,,
2,AA18,IOB_X1Y53,IO_L3P_A21_2,50.544,58.968,,,A21,OUT,,,LVCMOS33,12,SLOW,
2,AA19,IOB_X1Y56,IO_L1N_CC_A24_2,65.736,76.692,,,A24,OUT,,,LVCMOS33,12,SLOW,
